id,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,song_popularity
0,212990,0.642285517,0.856520289,0.707072915,0.0020014,10,,-5.619087886,0,0.082569587,158.386236,4,0.734641557,0
1,,0.054865639,0.73328883,0.83554481,0.000995659,8,0.436428059,-5.236965003,1,0.127358494,102.7529884,3,0.711530551,1
2,193213,,0.188387099,0.783523601,-0.002694056,5,0.170498679,-4.951758857,0,0.052281613,178.6857911,3,0.425536016,0
3,249893,0.488660247,0.58523363,0.552684922,0.000608044,0,0.094805113,-7.893694185,0,0.035617548,128.7156302,3,0.453596878,0
4,165969,0.493017312,,0.740981594,0.00203315,10,0.094891035,-2.684094927,0,0.050746135,121.9281569,4,0.741310591,0
5,188891,0.035655083,0.825918778,0.804527922,-5.27E-06,4,0.12075786,-6.122926312,0,0.039012362,115.6791282,4,0.709407808,0
6,161061,0.081742962,0.673587762,0.880180542,0.000327082,0,0.535410783,-2.909606687,1,0.030901886,98.0462047,4,0.982729182,0
7,196202,0.259747065,0.813213908,0.554384827,0.000389968,8,0.27657968,-7.794236764,0,0.207066791,158.6267642,3,0.662987403,1
8,169660,,0.65326314,0.917033625,0.001747752,0,,-4.422088941,0,0.031608216,122.3823976,3,0.297683117,1
9,167245,0.019617022,0.595234896,0.820038652,0.761883662,5,0.181098317,-5.154293142,0,0.054492822,110.524824,4,0.535452695,0
10,128274,0.614007157,0.397898851,0.346820058,0.002853315,3,0.132548888,,1,0.059511648,87.36351615,3,0.671581279,1
11,213121,0.04405286,0.817873984,0.729679492,0.003660201,5,0.137938462,-4.880149454,0,0.038814385,124.1995405,4,0.816472377,1
12,219730,0.339274811,0.660706845,,,0,0.22317274,-12.00565545,0,0.089726074,164.8778113,3,0.322253499,1
13,,0.455777966,0.448538412,0.75492369,,,0.076378879,-3.158905344,0,0.034837447,118.6645265,3,0.862988776,0
14,,0.462875813,0.384318355,0.653525191,0.781326072,6,,-10.36244053,0,0.065148941,141.5811175,3,0.432882752,0
15,,0.059284072,0.164167094,0.877742923,0.002113132,8,0.227997182,-3.627678224,0,0.246329875,174.4451796,4,0.530005828,1
16,248851,0.097600075,0.718900908,0.618375533,0.002925442,4,0.075376765,-7.715512003,1,0.083493986,96.83166518,4,0.935569051,0
17,153340,0.012866193,0.715635456,0.796741806,0.002236373,6,0.101807826,-4.879090315,0,0.172036302,120.8300457,3,0.497742507,0
